playername;playerteam;age
Jamal Murray;Clippers;38
Jerry West;Hawks;20
Isiah Thomas;Pistons;26
Elgin Baylor;Hawks;36
George Mikan;Jazz;31
Jamal Murray;Kings;19
Michael Jordan;Kings;26
Penny Hardaway;76ers;33
Tracy McGrady;Knicks;20
Damian Lillard;Nets;30
Kareem Abdul-Jabbar;Thunder;35
Steve Nash;Cavaliers;29
Giannis Antetokounmpo;Mavericks;21
Jason Kidd;Clippers;28
Kobe Bryant;Nuggets;18
Carmelo Anthony;76ers;23
Kyrie irving;Pistons;41
Kevin McHale;Pelicans;33
Shaquille Oneal;Magic;22
Dominique Wilkins;Clippers;28
Elgin Baylor;76ers;30
Carmelo Anthony;Nuggets;32
Mugsy Bouges;Thunder;35
Nikola Jokic;Hornets;34
Moses Malone;Lakers;24
Kawhi Leonard;Blazers;40
John Stockton;Heat;18
Nikola Jokic;Pelicans;29
Jason Kidd;Magic;36
Steph Curry;Timberwolves;19
George Gervin;Celtics;26
Michael Jordan;Nets;25
Kobe Bryant;Celtics;25
Giannis Antetokounmpo;Clippers;34
Tracy McGrady;Mavericks;41
Penny Hardaway;Pelicans;38
Kemba Walker;Warriors;23
George Mikan;76ers;39
Scottie Pippen;Hornets;34
Blake Griffin;Raptors;23
David Robinson;Spurs;34
Larry Bird;Pacers;27
Anthony Davis;Mavericks;34
George Mikan;Magic;25
Kyrie irving;Raptors;36
Nikola Jokic;Blazers;25
Elgin Baylor;Mavericks;40
Dominique Wilkins;Rockets;38
Yao Ming;Blazers;19
Kyrie irving;Wizards;20
DeAron Fox;Pacers;28
Chris Paul;Warriors;38
Scottie Pippen;Wizards;30
James Worthy;Clippers;32
Jason Kidd;Jazz;26
Magic Johnson;Magic;23
Nikola Jokic;Blazers;38
CJ McCollum;Timberwolves;29
John Stockton;Suns;24
Giannis Antetokounmpo;Pistons;21
Donovan Mitchell;Wizards;34
James Worthy;Nuggets;39
Damian Lillard;Knicks;19
David Robinson;76ers;29
Patrick Ewing;Kings;33
Yao Ming;Timberwolves;25
James Worthy;Magic;41
CJ McCollum;Warriors;28
Manute Bol;Hornets;19
Chris Bosh;Clippers;25
Kevin Durant;Kings;26
Kobe Bryant;Celtics;18
Ja Morant;Celtics;34
DeAron Fox;Mavericks;38
Elgin Baylor;Clippers;32
Karl Malone;Timberwolves;33
DeAron Fox;Lakers;39
Penny Hardaway;76ers;34
Joel Embiid;Heat;26
Kawhi Leonard;76ers;36
Paul Pierce;Bulls;38
Manute Bol;Bulls;34
Michael Jordan;Wizards;39
Isiah Thomas;Raptors;21
Kyrie irving;Knicks;33
Giannis Antetokounmpo;Spurs;40
Dwight Howard;Wizards;34
Paul George;Celtics;41
David Robinson;Warriors;20
Luka Doncic;Spurs;41
Magic Johnson;Clippers;38
Karl Malone;Clippers;20
Magic Johnson;Raptors;30
DeMar DeRozan;Bulls;25
Russell Westbrook;Hawks;23
Michael Jordan;76ers;25
Kareem Abdul-Jabbar;Pelicans;22
Reggie Miller;Cavaliers;19
Manute Bol;Grizzlies;33
CJ McCollum;Spurs;29
Mugsy Bouges;Blazers;20
David Robinson;Clippers;19
John Wall;Thunder;27
Yao Ming;Thunder;22
Jason Kidd;Bulls;38
Moses Malone;Nets;21
Russell Westbrook;Nuggets;27
Joel Embiid;Thunder;40
Kobe Bryant;Mavericks;35
Jerry West;Blazers;25
Allen Iverson;Knicks;33
Isiah Thomas;Blazers;21
Michael Jordan;Heat;18
CJ McCollum;Blazers;36
John Wall;Cavaliers;37
Mugsy Bouges;Cavaliers;39
Elgin Baylor;Hornets;41
Kemba Walker;76ers;22
Kemba Walker;Hawks;24
Allen Iverson;Suns;19
DeMar DeRozan;Mavericks;35
Vince carter;Grizzlies;34
Kyrie irving;Nets;30
Penny Hardaway;Blazers;41
Kobe Bryant;Bulls;36
Shaquille Oneal;Celtics;33
LeBron James;Timberwolves;27
George Gervin;Hawks;31
Kareem Abdul-Jabbar;Nets;38
Luka Doncic;Pelicans;20
Ray Allen;Heat;36
Chris Bosh;Raptors;26
Tracy McGrady;Warriors;31
Luka Doncic;Hornets;18
Vince carter;Thunder;18
Dwight Howard;Nuggets;24
Dwight Howard;Nets;18
Moses Malone;Pelicans;37
Tim Duncan;Mavericks;35
Mugsy Bouges;Timberwolves;38
Kyrie irving;Cavaliers;30
Ray Allen;Nuggets;34
John Wall;76ers;30
Klay Thompson;Blazers;20
Michael Jordan;Heat;24
Donovan Mitchell;Heat;23
Michael Jordan;Wizards;38
Luka Doncic;Mavericks;30
John Stockton;Celtics;31
DeAron Fox;Lakers;23
Giannis Antetokounmpo;Timberwolves;21
LeBron James;Raptors;23
Dwyane Wade;Pacers;27
Nikola Jokic;Warriors;39
Paul George;Raptors;27
DeAron Fox;Celtics;38
Hakeem Olajuwon;Warriors;37
Kevin Durant;Hawks;35
Nikola Jokic;76ers;22
Donovan Mitchell;Timberwolves;33
Jamal Murray;Celtics;40
Penny Hardaway;Kings;22
John Wall;Raptors;18
Steph Curry;Cavaliers;31
Dwyane Wade;Pistons;31
Larry Bird;Jazz;41
Jason Kidd;Timberwolves;28
Anthony Davis;Blazers;36
Karl Malone;Jazz;35
Ja Morant;Kings;22
Klay Thompson;76ers;37
DeMar DeRozan;Suns;25
Elgin Baylor;Cavaliers;23
Shaquille Oneal;Hawks;34
Nikola Jokic;Pistons;19
Paul Pierce;Raptors;19
Paul Pierce;Wizards;32
David Robinson;76ers;31
Vince carter;Bulls;18
Kemba Walker;Hawks;38
Ja Morant;Pistons;25
Donovan Mitchell;Lakers;31
Ray Allen;Grizzlies;22
Nikola Jokic;Kings;31
Magic Johnson;Raptors;21
Tim Duncan;Rockets;33
Jerry West;Warriors;40
Kareem Abdul-Jabbar;Wizards;34
John Stockton;Spurs;36
Dirk Nowitzki;Lakers;28
Ja Morant;Timberwolves;40
George Mikan;Pistons;22
Hakeem Olajuwon;Bucks;20
David Robinson;Clippers;39
Tim Duncan;Mavericks;28
Kemba Walker;Grizzlies;36
Rudy Gobert;Celtics;39
John Stockton;Hornets;25
Kobe Bryant;Warriors;40
Rudy Gobert;Pelicans;22
Kemba Walker;Heat;31
Kyrie irving;Knicks;29
David Robinson;76ers;39
Vince carter;Timberwolves;23
Donovan Mitchell;Timberwolves;36
Devin Booker;Rockets;24
Bill Russell;Spurs;21
Elgin Baylor;Wizards;36
David Robinson;Raptors;21
Giannis Antetokounmpo;Pistons;25
Kemba Walker;Nuggets;26
DeAron Fox;Hornets;33
Dwight Howard;Raptors;30
Chris Bosh;Nets;33
Isiah Thomas;Jazz;21
Dirk Nowitzki;Cavaliers;27
Charles Barkley;76ers;39
Devin Booker;Warriors;23
Julius Erwing;Thunder;34
Blake Griffin;Heat;31
Shaquille Oneal;Mavericks;18
Wilt Chamberlain;Grizzlies;34
Michael Jordan;Raptors;34
George Mikan;Heat;34
Kobe Bryant;Raptors;29
Paul George;Warriors;20
Blake Griffin;Magic;25
Kareem Abdul-Jabbar;Pacers;40
CJ McCollum;Nuggets;30
Carmelo Anthony;76ers;38
Patrick Ewing;Pelicans;28
Giannis Antetokounmpo;Celtics;21
Nikola Jokic;Nets;26
Klay Thompson;Cavaliers;30
Jerry West;Nuggets;24
Jerry West;Nuggets;18
Steve Nash;Hawks;21
Dirk Nowitzki;Clippers;21
Vince carter;Hawks;36
Tim Duncan;Pistons;30
Carmelo Anthony;Knicks;32
Moses Malone;Lakers;24
LeBron James;76ers;19
Ray Allen;Clippers;20
Kyrie irving;Pacers;22
DeMar DeRozan;Grizzlies;20
John Stockton;Celtics;23
Dwyane Wade;Clippers;36
Allen Iverson;Cavaliers;34
Kawhi Leonard;Pistons;35
Dwyane Wade;Pelicans;38
Donovan Mitchell;Suns;35
George Mikan;Clippers;36
John Stockton;Bucks;20
Manute Bol;Hornets;32
Russell Westbrook;Warriors;24
James Worthy;Grizzlies;21
George Mikan;Lakers;35
John Wall;Kings;19
Ray Allen;Warriors;41
Reggie Miller;Hornets;26
Dwight Howard;Hawks;26
James Harden;Spurs;34
Chris Paul;Pelicans;22
Kemba Walker;Spurs;38
Bradley Beal;Clippers;39
Paul George;Thunder;29
Kyrie irving;Bucks;22
Joel Embiid;Celtics;22
Chris Paul;Heat;31
DeAron Fox;Nuggets;30
Paul Pierce;Grizzlies;29
Chris Paul;Clippers;40
Blake Griffin;Warriors;26
Kemba Walker;Pelicans;23
Joel Embiid;Heat;33
Russell Westbrook;Spurs;40
Steve Nash;Cavaliers;24
Klay Thompson;Mavericks;21
Reggie Miller;Suns;39
Kemba Walker;Lakers;21
Ray Allen;Nuggets;34
Chris Bosh;Hornets;35
CJ McCollum;Mavericks;28
Manute Bol;Blazers;20
Dominique Wilkins;Pelicans;29
Jamal Murray;Grizzlies;21
Dwight Howard;Grizzlies;38
Julius Erwing;76ers;22
Dirk Nowitzki;Mavericks;23
Damian Lillard;Hornets;25
James Harden;Hawks;37
Tracy McGrady;Jazz;40
Kawhi Leonard;Nets;28
Anthony Davis;Warriors;22
Hakeem Olajuwon;Pacers;28
Russell Westbrook;Pacers;27
Dominique Wilkins;Spurs;22
Tim Duncan;Mavericks;20
Shaquille Oneal;Jazz;21
Bill Russell;Suns;26
Mugsy Bouges;Nets;23
Steve Nash;Hornets;34
Moses Malone;Pelicans;26
Kyrie irving;Thunder;25
Michael Jordan;Warriors;33
Paul George;Nets;28
Kevin Garnett;Cavaliers;29
James Harden;Bulls;23
Jason Kidd;Raptors;22
John Stockton;Bulls;22
David Robinson;Warriors;29
Larry Bird;Thunder;32
Julius Erwing;Lakers;33
Hakeem Olajuwon;Hawks;18
James Harden;76ers;23
Dwyane Wade;Hornets;32
Donovan Mitchell;Warriors;28
Dwyane Wade;Timberwolves;24
Charles Barkley;76ers;41
Tracy McGrady;Blazers;27
Scottie Pippen;Hawks;28
Tim Duncan;Warriors;26
Klay Thompson;Thunder;21
Patrick Ewing;Pelicans;29
Ja Morant;Pacers;29
Karl Malone;Thunder;23
Julius Erwing;Kings;41
Dwyane Wade;Grizzlies;24
Ja Morant;Nets;20
Joel Embiid;Wizards;19
Chris Paul;Blazers;24
Karl Anthony-Towns;Bucks;41
John Wall;Jazz;30
Klay Thompson;Magic;38
Vince carter;Lakers;33
Vince carter;Hawks;31
DeAron Fox;Knicks;21
Chris Paul;Hornets;19
Patrick Ewing;Jazz;30
DeMar DeRozan;Pacers;29
Kevin Durant;Blazers;34
Yao Ming;Kings;33
Dennis Rodman;Nuggets;29
Steve Nash;Blazers;32
Reggie Miller;Kings;30
Jason Kidd;Grizzlies;41
Dwyane Wade;Clippers;36
Ja Morant;Rockets;30
Ja Morant;Raptors;21
Dennis Rodman;Hawks;24
Paul George;Thunder;39
Steve Nash;Suns;33
Scottie Pippen;Jazz;24
Bill Russell;Knicks;41
Magic Johnson;Blazers;21
Ray Allen;Cavaliers;31
Nikola Jokic;Pacers;37
Isiah Thomas;Jazz;18
Magic Johnson;Spurs;31
James Harden;76ers;21
Kevin Garnett;Magic;31
Ja Morant;Grizzlies;30
Allen Iverson;Clippers;24
Kawhi Leonard;Wizards;40
DeMar DeRozan;Jazz;36
Tracy McGrady;Hawks;27
Kemba Walker;Suns;32
DeMar DeRozan;Knicks;24
Damian Lillard;Nuggets;20
Anthony Davis;Warriors;33
John Wall;Raptors;33
Dwyane Wade;Bulls;21
Steve Nash;Jazz;30
Bill Russell;Hornets;31
Patrick Ewing;Heat;39
Isiah Thomas;Bulls;38
Jerry West;Raptors;18
DeAron Fox;Magic;36
Kemba Walker;Pistons;28
Vince carter;Timberwolves;33
Jerry West;Clippers;38
Paul George;Hornets;23
LeBron James;Warriors;29
James Worthy;Blazers;30
Manute Bol;Pacers;21
Karl Malone;Kings;31
Mugsy Bouges;Hornets;39
Patrick Ewing;Nets;28
Charles Barkley;Warriors;32
Larry Bird;Pistons;26
Russell Westbrook;Clippers;20
Kawhi Leonard;Hornets;22
Devin Booker;76ers;28
Shaquille Oneal;Pelicans;28
Dominique Wilkins;Blazers;25
Allen Iverson;Magic;21
Joel Embiid;Wizards;36
Paul Pierce;Jazz;31
Blake Griffin;Hawks;36
Kevin McHale;Nuggets;21
Donovan Mitchell;Spurs;27
Vince carter;Suns;26
James Harden;Nets;38
Joel Embiid;Blazers;35
Tim Duncan;Hornets;23
Yao Ming;Timberwolves;29
Kareem Abdul-Jabbar;Pacers;34
Kevin Durant;Rockets;36
Elgin Baylor;Heat;26
Dominique Wilkins;Pelicans;19
Devin Booker;Blazers;34
John Stockton;76ers;39
Steph Curry;Rockets;36
Kemba Walker;Warriors;21
Luka Doncic;Kings;34
CJ McCollum;Grizzlies;39
Dominique Wilkins;Pistons;19
Kevin Garnett;Hawks;32
Dwight Howard;Nuggets;20
Dennis Rodman;Thunder;28
Dominique Wilkins;Heat;33
Bradley Beal;Bulls;27
Russell Westbrook;Kings;40
Michael Jordan;Thunder;34
Bill Russell;Hornets;34
Giannis Antetokounmpo;Timberwolves;25
Jason Kidd;Blazers;19
Larry Bird;Grizzlies;20
Russell Westbrook;Warriors;31
James Worthy;Wizards;22
Chris Bosh;Nuggets;33
Ja Morant;Lakers;40
Anthony Davis;Celtics;20
Devin Booker;Heat;23
Manute Bol;Pelicans;39
Kevin McHale;Suns;19
Rudy Gobert;Knicks;41
Manute Bol;Hornets;34
Nikola Jokic;Thunder;30
Dennis Rodman;Knicks;32
Karl Malone;Pistons;38
George Gervin;Bulls;33
Dominique Wilkins;Pelicans;28
Julius Erwing;Kings;20
Wilt Chamberlain;Celtics;33
Yao Ming;Spurs;34
Michael Jordan;Hawks;25
David Robinson;Mavericks;28
Dwyane Wade;Timberwolves;20
Elgin Baylor;Nuggets;38
Hakeem Olajuwon;Heat;18
Dwyane Wade;Pelicans;36
Joel Embiid;Nets;19
Kevin Durant;Hornets;33
Jason Kidd;Heat;37
Ja Morant;Cavaliers;32
Blake Griffin;Nuggets;25
Larry Bird;Thunder;19
Kareem Abdul-Jabbar;Cavaliers;24
Elgin Baylor;Bucks;30
Penny Hardaway;Kings;32
George Gervin;Grizzlies;18
Dominique Wilkins;Lakers;18
Bradley Beal;Pelicans;20
Julius Erwing;Grizzlies;28
Giannis Antetokounmpo;Knicks;27
Kevin Garnett;Timberwolves;18
Karl Malone;Heat;39
Julius Erwing;Bulls;41
Ray Allen;Pistons;27
Dennis Rodman;Grizzlies;26
James Worthy;Nuggets;38
Charles Barkley;Kings;24
Dominique Wilkins;Spurs;22
Blake Griffin;Pistons;36
Vince carter;76ers;25
Kawhi Leonard;Hornets;39
Allen Iverson;Kings;31
Bill Russell;Knicks;25
Russell Westbrook;Hornets;36
Paul Pierce;Knicks;26
John Stockton;Cavaliers;27
Penny Hardaway;Heat;33
Dwight Howard;Cavaliers;25
Blake Griffin;Hornets;40
Kawhi Leonard;Bulls;24
Rudy Gobert;Nets;32
Giannis Antetokounmpo;Pelicans;25
Bill Russell;Raptors;33
DeAron Fox;76ers;27
James Harden;Jazz;31
Blake Griffin;Kings;30
Kawhi Leonard;Hornets;34
Rudy Gobert;Magic;29
Anthony Davis;Lakers;28
Kobe Bryant;Blazers;21
DeMar DeRozan;Lakers;34
Yao Ming;Pistons;39
Tim Duncan;Timberwolves;31
CJ McCollum;Magic;29
Donovan Mitchell;Rockets;35
Ray Allen;Clippers;21
Shaquille Oneal;Blazers;20
Scottie Pippen;Pacers;24
Bill Russell;Bulls;24
Shaquille Oneal;Jazz;27
Yao Ming;Mavericks;31
Jamal Murray;Bucks;18
Steve Nash;Heat;36
Elgin Baylor;Hornets;31
Dirk Nowitzki;Nuggets;38
Allen Iverson;Lakers;18
DeAron Fox;76ers;37
CJ McCollum;76ers;30
Carmelo Anthony;Timberwolves;25
DeMar DeRozan;Warriors;28
Jason Kidd;Suns;37
Kareem Abdul-Jabbar;Knicks;21
Charles Barkley;Raptors;30
Bradley Beal;Blazers;23
Patrick Ewing;Heat;30
Bill Russell;Clippers;38
Steph Curry;Rockets;34
Jerry West;Raptors;26
Russell Westbrook;Raptors;31
Joel Embiid;Pelicans;38
Klay Thompson;Celtics;25
Yao Ming;Pistons;40
Donovan Mitchell;Cavaliers;24
Allen Iverson;Celtics;30
Shaquille Oneal;Jazz;35
Tracy McGrady;Hawks;35
Kawhi Leonard;Heat;32
Rudy Gobert;Celtics;38
Kevin Durant;Pelicans;41
Reggie Miller;Suns;23
Damian Lillard;Pelicans;40
Giannis Antetokounmpo;Celtics;23
Kevin McHale;Pacers;28
Bradley Beal;Nuggets;35
Joel Embiid;Wizards;30
Ray Allen;Pistons;25
CJ McCollum;76ers;19
Jerry West;Bucks;35
Mugsy Bouges;Clippers;24
James Worthy;Timberwolves;31
Patrick Ewing;Mavericks;31
Jerry West;Timberwolves;37
Jason Kidd;Bucks;32
Julius Erwing;76ers;29
Kawhi Leonard;Pacers;19
Charles Barkley;Bucks;24
Chris Bosh;Cavaliers;32
Jerry West;Jazz;29
Elgin Baylor;Bucks;36
Kareem Abdul-Jabbar;Nuggets;21
Carmelo Anthony;Cavaliers;35
Chris Bosh;Bucks;32
Jason Kidd;Rockets;18
Yao Ming;Hornets;35
Joel Embiid;Hawks;21
Wilt Chamberlain;Pistons;31
Allen Iverson;Nets;41
Carmelo Anthony;Nets;26
Moses Malone;Pacers;36
Russell Westbrook;Rockets;25
Dwight Howard;Rockets;22
George Mikan;Pelicans;41
Steve Nash;Pacers;22
Paul George;Lakers;37
Kevin Durant;Nets;41
John Stockton;Pacers;29
Nikola Jokic;Cavaliers;21
George Gervin;Pelicans;33
Bill Russell;Celtics;35
Joel Embiid;Thunder;30
Dirk Nowitzki;76ers;41
Shaquille Oneal;Bulls;33
Moses Malone;Grizzlies;40
Karl Anthony-Towns;Heat;30
Paul George;Blazers;38
Penny Hardaway;Blazers;20
Allen Iverson;Wizards;27
Mugsy Bouges;Clippers;29
Charles Barkley;Suns;38
Tim Duncan;Timberwolves;35
Bill Russell;Pelicans;41
David Robinson;Suns;32
Julius Erwing;Jazz;24
Russell Westbrook;Lakers;30
Tracy McGrady;Blazers;18
Michael Jordan;Magic;21
Damian Lillard;Heat;41
Klay Thompson;Pelicans;28
Wilt Chamberlain;Hawks;37
Patrick Ewing;Pelicans;24
Luka Doncic;Wizards;35
Jerry West;Heat;19
Wilt Chamberlain;Bucks;23
Dwight Howard;Mavericks;19
John Wall;76ers;30
Julius Erwing;Hornets;30
David Robinson;Cavaliers;28
Ray Allen;Wizards;24
Jamal Murray;Bucks;30
CJ McCollum;Jazz;19
Jamal Murray;Timberwolves;30
LeBron James;Kings;24
Tim Duncan;Clippers;32
Kawhi Leonard;Wizards;31
Rudy Gobert;Lakers;30
Wilt Chamberlain;Magic;34
Klay Thompson;Heat;34
Charles Barkley;Nuggets;30
Charles Barkley;Pacers;28
Rudy Gobert;Spurs;28
Mugsy Bouges;Pelicans;27
George Gervin;Knicks;33
Karl Anthony-Towns;Blazers;25
Jerry West;Pacers;37
Patrick Ewing;Warriors;25
Luka Doncic;Nuggets;26
Chris Bosh;Mavericks;21
Ray Allen;Celtics;31
Kareem Abdul-Jabbar;Bucks;28
Scottie Pippen;Thunder;37
Larry Bird;Kings;40
Rudy Gobert;Celtics;27
Nikola Jokic;Spurs;33
Kevin Garnett;Mavericks;41
Karl Malone;Nets;19
Steve Nash;Bucks;35
Bradley Beal;Lakers;30
Jamal Murray;Bulls;20
Blake Griffin;Suns;30
Kevin McHale;Suns;35
James Harden;Spurs;19
CJ McCollum;Jazz;25
David Robinson;Mavericks;29
Kobe Bryant;Mavericks;18
Allen Iverson;Clippers;41
Tim Duncan;Pelicans;38
John Wall;Hornets;26
Blake Griffin;Celtics;25
Devin Booker;Bucks;23
Jerry West;Bulls;24
Kevin Garnett;Thunder;35
CJ McCollum;Clippers;24
Donovan Mitchell;Blazers;32
Kyrie irving;Warriors;23
Kevin Garnett;Nuggets;18
Dirk Nowitzki;Knicks;18
Kevin Garnett;Grizzlies;38
Luka Doncic;Pacers;21
Kevin McHale;Mavericks;30
Julius Erwing;Timberwolves;36
George Mikan;Raptors;26
Shaquille Oneal;Magic;40
Jamal Murray;Timberwolves;32
Penny Hardaway;Suns;40
John Stockton;Bulls;23
Shaquille Oneal;Mavericks;36
Karl Malone;Pistons;21
John Stockton;Magic;33
Ja Morant;Magic;38
Tracy McGrady;Grizzlies;27
Mugsy Bouges;Pistons;36
Chris Paul;Kings;35
Dwight Howard;Kings;30
John Stockton;Heat;41
John Stockton;Wizards;30
Jamal Murray;Rockets;21
Ray Allen;Raptors;39
James Worthy;Pelicans;26
DeAron Fox;Cavaliers;23
Nikola Jokic;Grizzlies;29
Rudy Gobert;Jazz;21
Patrick Ewing;Pelicans;31
Kawhi Leonard;Hawks;26
Paul George;Clippers;33
Shaquille Oneal;Lakers;29
Jason Kidd;Kings;27
Ray Allen;Wizards;25
Dominique Wilkins;Nets;18
Tracy McGrady;Warriors;35
Bradley Beal;76ers;26
George Mikan;Pelicans;29
Rudy Gobert;Lakers;22
Allen Iverson;Wizards;18
Karl Anthony-Towns;Clippers;39
Penny Hardaway;Knicks;38
Manute Bol;Suns;32
Kemba Walker;Rockets;22
Dwyane Wade;Thunder;32
Yao Ming;Cavaliers;31
Elgin Baylor;Lakers;27
Anthony Davis;Mavericks;29
James Worthy;Spurs;32
Karl Malone;Pistons;34
Kevin Garnett;Hawks;39
Bradley Beal;Mavericks;37
Shaquille Oneal;Raptors;32
Dwight Howard;Thunder;19
Luka Doncic;Hawks;28
Yao Ming;Bucks;23
Kemba Walker;Kings;38
Scottie Pippen;Bucks;18
Dennis Rodman;Pistons;24
DeAron Fox;Kings;30
Paul George;Lakers;34
George Gervin;Hawks;39
Magic Johnson;Grizzlies;18
Damian Lillard;Pistons;24
Scottie Pippen;Nets;27
Kareem Abdul-Jabbar;Hornets;32
Jamal Murray;Knicks;33
Rudy Gobert;Celtics;26
Hakeem Olajuwon;Pacers;28
Kemba Walker;Bulls;34
Vince carter;Warriors;28
Steve Nash;Kings;20
Moses Malone;Wizards;30
Kevin Durant;Mavericks;29
Penny Hardaway;Mavericks;19
Jamal Murray;Wizards;26
Mugsy Bouges;Suns;28
Kemba Walker;Kings;37
Yao Ming;Cavaliers;29
Giannis Antetokounmpo;Thunder;33
Dominique Wilkins;Celtics;35
Penny Hardaway;Thunder;35
Karl Malone;Mavericks;39
Penny Hardaway;76ers;21
James Worthy;Grizzlies;20
Kobe Bryant;Wizards;18
Magic Johnson;Suns;20
Yao Ming;Spurs;18
Dwight Howard;Suns;32
Wilt Chamberlain;Timberwolves;38
Reggie Miller;Blazers;27
Klay Thompson;Magic;39
John Wall;76ers;32
Paul George;Spurs;28
Dominique Wilkins;Cavaliers;24
Isiah Thomas;Magic;30
Allen Iverson;Pelicans;41
Ja Morant;Hawks;21
Kareem Abdul-Jabbar;Raptors;39
Kobe Bryant;Bucks;36
Karl Malone;76ers;18
Bill Russell;Celtics;27
Bill Russell;Clippers;22
Carmelo Anthony;Pelicans;38
Dwight Howard;Magic;20
Anthony Davis;Nuggets;31
Magic Johnson;Knicks;27
Manute Bol;Celtics;33
Kyrie irving;Lakers;33
Michael Jordan;Nuggets;25
Chris Bosh;Jazz;28
Moses Malone;Rockets;31
Chris Bosh;Kings;40
Jerry West;Bucks;28
Devin Booker;Pacers;40
David Robinson;Wizards;32
Karl Anthony-Towns;Bulls;40
Karl Malone;Knicks;26
Shaquille Oneal;Warriors;29
Vince carter;Hornets;22
Wilt Chamberlain;Knicks;33
Kareem Abdul-Jabbar;Magic;30
Paul George;Clippers;27
Dominique Wilkins;Rockets;18
Devin Booker;Nets;25
Vince carter;Bulls;26
Charles Barkley;Knicks;23
Chris Bosh;Grizzlies;25
Devin Booker;Warriors;27
Blake Griffin;Knicks;34
LeBron James;Raptors;37
